question,answer
عندكم رقم واتس,نعم، تفضل هذا الرقم للتواصل على الواتس:
شكرا,العفو، يسعدنا خدمتك بأي وقت نورتنا
يعطيكم العافية,الله يعافيك، نورتنا
مع السلامة,في امان الله، نورتنا
وين مكانكم,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
انتم بحايل زون,ايه نعم حياك حنا بحايل زون الدور الثاني
متى تفتحون,حياك الله من ٨ صباحًا حتى ١٠ مساءًا تنورنا بأي وقت
شكرا يعطيكم العافية,"الله يعافيك, نورتنا"
هلا والله,هلا بك يا مرحبا
حي الله من جانا,الله يحييك ويبقيك
أهلًا وسهلًا,اهلًا وسهلًا بك يا هلا
ياهلا وغلا,هلا بك يا مرحبا
حياك,الله يحييك ويبقيك
مرحبتين,يا مرحبا بك
سعدت فيكم,وحنا اسعد
اشوفكم على خير,ابشر، خلني اساعدك بهالشي
في أمان الله,ابشر، خلني اساعدك بهالشي
بيض الله وجهك,وجهك ابيض نورتنا يا بعد حيي
تسلمون,الله يسلمك
نلقاكم على خير,باذن الله
الشاشة ماتشتغل,خلل بسيط باذن الله ينحل بس جرب مره ثانية
عندي مشكلة بالشاشة,وش المشكلة بالضبط علمني وبساعدك
مافي صوت بالشاشة,ممكن تتصل على الدعم هذا الرقم 0555555555
الشاشة تعلق,ما عليك لا تشيل هم الان نرسل للدعم يساعدونك
فيه ضمان,نعم فيه ضمان ثلاث سنوات لمدة سنة
وش يشمل الضمان,استبدال للشاشة في حال وجود خلل
فيه شي مجاني مع الإيجار,نعم السماعة
فيه شاشات متوفرة الحين؟,ابشر، خلني اساعدك بهالشي
تقدرون توفرون ٤ شاشات بكرا,اكيد! ابشر بعزك بس حدد لي نوع الشاشات والموقع وبيتواصل معك موظف الدعم قريبًا
عندكم ٧٠ إنش متاح,ايه نعم موجود تبي تطلبها؟
احتاج شاشة اليوم متوفر؟,اكيد! حدد لي نوع الشاشة وابشر بعزك
ابي شاشتين ٥٥ إنش موجود,ايه نعم موجود بس اكد لي الطلب
فيه مقاسات متعددة متوفرة؟,ايه نعم متوفر اكثر من مقاس قل لي احتياجك وبساعدك
أبي شاشة لفعالية,ابشر! علمني نوع الفعالية وبساعدك
احتاج تجهيز شاشة للحفل,ابشر بعزك تواصل مع الدعم وبيساعدونك بجميع التفاصيل وخدمتنا سريعة
كيف طريقة الدفع,حياك الله متوفرة جميع طرق الدفع عن طريق الابل باي وعن طريق البطاقة بس تمم الطلب وابشر بسعدك!
تقبلون تحويل,اكيد!فقط يحتاج ترسل الايصال عشان نتمم الطلبية
اطلب من وين,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
وش مميزات الشاشة اللي عندكم؟,شاشاتنا فيها وضوح 4K، وتصميم أنيق، وتدعم اللمس والبلوتوث وكل المنافذ، وتشتغل مع أي جهاز تبيه
اقدر اشبك جوالي على الشاشة؟,اكيد يا بعدي، تدعم HDMI وUSB وحتى بلوتوث، يعني تقدر توصل جوالك أو لابتوبك بسهولة
وش حجم الشاشات اللي عندكم؟,عندنا مقاسات مختلفة، مثل 65 بوصة و75 بوصة، وكلها بدقة UHD ووضوح عالي
الشاشة تنفع أعلقها ولا لازم تثبيت؟,تقدر تثبتها أو تعلقها عادي، وبعض الشاشات تصميمها مكعب وتتركب حتى على الأبواب الخارجية أو الأرض
فيه روبوت يتنقل بالشاشة؟,ايه عندنا روبوت ذكي يقدر يتحرك بروحه، يتفادى العقبات، ويتفاعل مع الناس باللمس
البطارية آمنة؟,أكيد، فيها بطارية ليثيوم فوسفات آمنة ما تحترق ولا تشتعل، وترجع تشحن نفسها إذا قربت تخلص
الشاشة واضحة تحت الشمس؟,ايوه سطوعها عالي مره، حتى تحت الشمس تشوف المحتوى بوضوح
وش مميزات شاشة LED اللي تجي بالمتر؟,شاشة LED بالمتر تعطي سطوع عالي ودقة HD، وتقدر تركبها بمكان صغير وتنقلها بسهولة
وش مميز LED Cube؟,تصميمه مكعب، تقدر تستخدمه كشعار أو إعلان خارجي وتثبته على الأرض أو الباب، وضمان ثلاث سنواته عالي
عطني ميزات الشاشات اللي عندكم,شاشاتنا فيها 4K، تصميمها حلو وتشتغل باللمس، وتشبك مع كل الأجهزة
وش يميز شاشتكم عن غيرها؟,شاشتنا ذكية، تدعم أقلام رقمية، وتشتغل مع أي جهاز عندك
اقدر اشبك اللابتوب على الشاشة؟,أكيد، تدعم HDMI وبلوتوث وUSB، تقدر توصل أي جهاز بسهولة
تشتغل مع الجوالات؟,ايه تشتغل، سواء جوال أو تابلت أو لابتوب، كلها تتوصل بسرعة
وش المقاسات المتوفرة؟,فيه 65 و75 بوصة، وتقدر تختار حسب المكان اللي تبيه
فيه شاشات كبيرة وصغيرة؟,ايه متوفر عندنا كل المقاسات من صغيرة لكبيرة وكلها بجودة عالية
اقدر اثبت الشاشة بأي مكان؟,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
الشاشة تجي بتثبيت ولا تنقل؟,عندك الخيارين، بعض الشاشات ثابتة وبعضها متنقلة
عندكم روبوت يشيل الشاشة؟,ايه روبوت ذكي، يتنقل لحاله ويتفادى العقبات ويتفاعل باللمس
البطارية فيها أمان؟,ايه يا حيي، البطارية غير قابلة للاشتعال، وآمنة مرة
وش نوع بطارية الشاشة؟,بطارية ليثيوم فوسفات، ما تحترق ولا تشتعل، وتتشحن تلقائي
توضح الشاشة تحت الشمس؟,ايه سطوعها عالي، حتى بالنهار تشوفها بوضوح
السطوع قوي بالشاشة؟,سطوعها ممتاز، ما تحتاج شي إضافي حتى بالمناطق المفتوحة
عندكم شاشة LED طويلة؟,ايه شاشة بالمتر، دقتها HD وتنفع للأماكن الضيقة
وش فائدة شاشة المكعب؟,مميزة للإعلانات، تثبتها على الأرض أو الباب وتلفت الانتباه
اقدر استخدم شاشة المكعب كشعار؟,ايه مثالية للشعارات، تصميمها ملفت وتنفع داخلي وخارجي
كم مدة الضمان؟,الضمان ثلاث سنوات يا بعدي، شامل كل شيء
الضمان يشمل الأعطال؟,ايه يشمل الأعطال والتقنيات الداخلية، بس ما يشمل الكسر أو سوء الاستخدام
لو خربت الشاشة تصلحونها؟,ايه نصلحها إذا كانت تحت الضمان، والضمان ثلاث سنوات
فيه صيانة لو احتجت؟,ايه عندنا فريق صيانة متخصص ويوصلك لو احتجت
كيف اطلب دعم فني؟,بس تواصل معنا على الرقم أو الواتساب، ونرسلك الدعم
اقدر استخدم الشاشة كلوحة إعلانات؟,ايه، خصوصاً المكعب LED، شكله يشد الانتباه
الشاشة تشتغل بدون كهرب؟,فيه نوع يشتغل بالبطارية فترة محدودة، والباقي بالكهرب
كيف توصلون الشاشات؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
فيه شحن لكل المدن؟,ايه نوصل لكل مدن المملكة، وين ما كنت
وش الفرق بين 65 و75 بوصة؟,الفرق بالحجم، بس كلها بدقة وحدة، انت اختار حسب المكان
الشاشة تتحمل الحرارة؟,ايه مصممة تتحمل أجواءنا، ومجربة بالسعودية
فيها حماية للأطفال؟,ايه فيها زوايا آمنة وما تسخن، وآمنة ببيئة الأطفال
كيف اشغل الشاشة؟,التشغيل سهل، فيها نظام ذكي تشتغل بزر واحد
فيها نظام تشغيل؟,ايه نظام تشغيل ذكي مع تطبيقات جاهزة
كم سنة ضمان شاشتكم؟,الضمان ثلاث سنوات يا حيي، شامل كل شيء.
وش مدة الضمان؟,الضمان ثلاث سنوات يا حيي، شامل كل شيء.
عليها ضمان كم سنة؟,الضمان ثلاث سنوات يا حيي، شامل كل شيء.
توصلون الشاشات لين البيت؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
الشحن مجاني؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
فيه توصيل عند الطلب؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
وش فيها مميزات الشاشة؟,دقة 4K، سطوع عالي، تصميم نحيف، وتشتغل باللمس.
تعطيني مواصفات الشاشة؟,دقة 4K، سطوع عالي، تصميم نحيف، وتشتغل باللمس.
كيف جودة الصورة فيها؟,دقة 4K، سطوع عالي، تصميم نحيف، وتشتغل باللمس.
وش المنافذ اللي فيها؟,تدعم HDMI وUSB وبلوتوث، وتشغل كل الأجهزة.
تدعم بلوتوث؟,تدعم HDMI وUSB وبلوتوث، وتشغل كل الأجهزة.
اقدر اشبك جوالي؟,تدعم HDMI وUSB وبلوتوث، وتشغل كل الأجهزة.
البطارية آمنة ولا خطر؟,ايه آمنة، بطارية ليثيوم فوسفات ما تحترق ولا تنفجر.
ما تنفجر البطارية؟,ايه آمنة، بطارية ليثيوم فوسفات ما تحترق ولا تنفجر.
وش نوع بطاريتها؟,ايه آمنة، بطارية ليثيوم فوسفات ما تحترق ولا تنفجر.
الروبوت يشتغل لحاله؟,الروبوت يشتغل لحاله ويتفادى العقبات ويتفاعل مع الناس.
يتنقل الروبوت تلقائي؟,الروبوت يشتغل لحاله ويتفادى العقبات ويتفاعل مع الناس.
وش سالفة الروبوت مع الشاشة؟,الروبوت يشتغل لحاله ويتفادى العقبات ويتفاعل مع الناس.
وش أكبر شاشة عندكم؟,فيه 65 و75 بوصة وغيرها، اختر حسب حاجتك.
فيه حجم 65 بوصة؟,فيه 65 و75 بوصة وغيرها، اختر حسب حاجتك.
المقاسات المتوفرة؟,فيه 65 و75 بوصة وغيرها، اختر حسب حاجتك.
الشاشة فيها نظام تشغيل؟,فيها نظام تشغيل ذكي وتقدر تثبت برامج عليها بسهولة.
أقدر أثبت برامج؟,فيها نظام تشغيل ذكي وتقدر تثبت برامج عليها بسهولة.
وش النظام اللي فيها؟,فيها نظام تشغيل ذكي وتقدر تثبت برامج عليها بسهولة.
وين موقعكم؟,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
عطني موقعكم على الخريطة,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
كيف أزوركم؟,تقدر تزورنا وتشوف الشاشات بنفسك، هذا موقعنا على الخريطة: https://goo.gl/maps/kXQDfWxgGuv93E4n8
فيه تركيب عند الطلب؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
اللي يركب الشاشة أحد فاهم؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
اقدر اطلب تركيب معي؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
الشاشة توصلني لين البيت؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
اذا كنت بمدينة ثانية توصلون؟,نوصل لكل مناطق المملكة، داخل حايل مجانًا، وخارجها برسوم شحن بسيطة.
التوصيل ياخذ وقت؟,يوصلك الطلب خلال 2-5 أيام عمل حسب موقعك.
كيف اكلم الدعم؟,تقدر تكلمنا على واتساب الدعم مباشرة أو من حساباتنا.
احتجت أرقامكم، وين احصلها؟,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
الدعم متى يرد؟,نرد عليك بأسرع وقت خلال ساعات العمل.
الشاشة تشتغل بدون انترنت؟,ايه بعض الشاشات تشتغل بدون نت حسب نوعها.
فيها أكثر من لغة؟,ايه تدعم العربي والإنجليزي وأنظمة متعددة.
تشتغل الشاشة بالمناسبات؟,تنفع للمناسبات والمعارض والتعليم، حسب استخدامك.
الشاشة تنفع لمكان عام؟,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
وش تعرف عن event use؟,تستخدمها في المؤتمرات والمعارض بكل سهولة.
التوصيل مجاني؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
تشتغل بدون نت؟,بعض الشاشات تشتغل بدون نت عادي.
كيف أتواصل معكم؟,تقدر تتواصل معنا بسهولة عبر الواتساب والدعم متوفر.
وش تعرف عن public use؟,مناسبة للأماكن المفتوحة مثل الأسواق أو المدارس.
التركيب عندكم مجاني؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
تدعم اللغة العربية؟,تدعم العربية والإنجليزية وبعضها فيه لغات أكثر.
من أنت؟,أنا مساعدك الذكي من خيال الفكرة للشاشات الذكية، أجاوبك على كل استفساراتك.
وش اسمك؟,اسمي مساعد خيال الفكرة، صممت عشان أساعدك باختيار الشاشات المناسبة لك.
انت انسان؟,لا والله، أنا مساعد افتراضي ذكي أجاوبك على كل شيء يخص الشاشات.
انت روبوت؟,أنا روبوت صوتي ذكي من خيال الفكرة، فاهم ومصمم أساعدك.
وش وظيفتك؟,وظيفتي أقدم لك معلومات عن الشاشات والتركيب والتوصيل وكل شيء تبيه.
وش تسوي؟,أشرح لك كل التفاصيل عن منتجات خيال الفكرة، وأسهل عليك تختار.
وش شغلك؟,شغلي أساعدك وتجاوبك على أسئلتك حول شاشات خيال الفكرة.
وش تقدم لي؟,أعطيك معلومات دقيقة واقتراحات عن الشاشات المناسبة لك.
وش فايدتك؟,أنا موجود هنا عشان أوفر لك تجربة سهلة وسريعة في معرفة الشاشات.
وش هدفك؟,هدفي أخلي تجربتك مع خيال الفكرة سلسة وممتعة ومليانة معلومات مفيدة.
كيف تساعدني؟,أساعدك تختار الشاشة المناسبة وأفهم احتياجك وأقترح لك الأفضل.
وش علاقتك بخيال الفكرة؟,أنا ممثل رسمي لشركة خيال الفكرة، صمموني أجاوبك وأسهل عليك.
وش دورك؟,دوري أساعدك بكل استفساراتك عن الشاشات الذكية من خيال الفكرة.
انت من ضمن فريق خيال الفكرة؟,ايه، أنا جزء من فريق خيال الفكرة، موجود عشان أخدمك وأشرح لك.
وش تقدر تسوي؟,أقدر أشرح لك عن المنتجات، أساعدك تختار، وأجاوب على كل أسئلتك.
ليش كلمتك؟,علشان تعرف أكثر عن الشاشات وخدماتنا، وأنا موجود أجاوبك بكل ود.
انت فاهمني؟,ايه أفهمك زين، وتقدر تسألني عن أي شيء يخص شاشات خيال الفكرة.
وش اسمك الكامل؟,اسمي مساعد خيال الفكرة للشاشات الذكية، مصمم عشان أجاوبك.
انت ذكي؟,ايه أقدر أفهم سؤالك وأجاوبك بطريقة بسيطة وواضحة.
كيف تفهمني؟,أقرأ كلامك وأحلله وأجاوبك من معلومات الشركة الرسمية.
تقدر تقترح علي؟,ايه بكل تأكيد، بس علمني كيف تبي تستخدم الشاشة وأنا أرشح لك.
وش تميزك؟,تميزي إني فاهم منتجات خيال الفكرة ومجهز أساعدك بكل بساطة.
وش هو البوديوم؟,البوديوم شاشة ذكية تسهّل العروض بالمؤتمرات وتدعم المايك واللمس وسهلة التنقل.
شاشة البوديوم تنفع للمؤتمرات؟,ايه، تساعد بالمؤتمرات ويجي معها مايك وتدعم اللمس، ومريحة بالتنقل.
شاشة البوديوم تتنقل؟,ايه، سهلة التنقل وتتحرك بسهولة لأي مكان تحتاجه.
فيها مايك؟,ايه، يتوفر معها مايك للمؤتمرات والعروض.
تدعم شاشة البوديوم اللمس؟,ايه، تدعم اللمس بالكامل عشان تتفاعل معها بكل سهولة.
انت مين؟,أقدر أشرح لك عن المنتجات، أساعدك تختار، وأجاوب على كل أسئلتك.
ابي اعرف عن screen brightness؟,ايوه سطوعها عالي مره، حتى تحت الشمس تشوف المحتوى بوضوح
ابي اعرف عن child safe؟,ايه فيها زوايا آمنة وما تسخن، وآمنة ببيئة الأطفال
ابي اعرف عن screen sizes؟,نوفر شاشات توصل إلى (١٠٠) إنش حسب التوفر
ابي اعرف عن touch support podium؟,ايه، تدعم اللمس بالكامل عشان تتفاعل معها بكل سهولة.
التركيب عندكم مجاني؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
ابي اعرف عن availability؟,ايه نعم موجود تبي تطلبها؟
انت مين؟,تميزي إني فاهم منتجات خيال الفكرة ومجهز أساعدك بكل بساطة.
كيف أتواصل معكم؟,نرد عليك بأسرع وقت خلال ساعات العمل.
التوصيل مجاني؟,نوصل لكل مناطق المملكة، داخل حايل مجانًا، وخارجها برسوم شحن بسيطة.
ابي اعرف عن size comparison؟,الفرق بالحجم، بس كلها بدقة وحدة، انت اختار حسب المكان
انت مين؟,ايه بكل تأكيد، بس علمني كيف تبي تستخدم الشاشة وأنا أرشح لك.
ابي اعرف عن warranty support؟,ايه نصلحها إذا كانت تحت الضمان، والضمان ثلاث سنوات
ابي اعرف عن warranty coverage؟,ايه يشمل الأعطال والتقنيات الداخلية، بس ما يشمل الكسر أو سوء الاستخدام
ابي اعرف عن mic support؟,ايه، يتوفر معها مايك للمؤتمرات والعروض.
ابي اعرف عن how to order؟,اكيد!فقط يحتاج ترسل الايصال عشان نتمم الطلبية
ابي اعرف عن how to order؟,تقدر تطلب عن طريق الواتس أو تتواصل معنا مباشرة ونجهز لك الطلب
ابي اعرف عن robot use؟,الروبوت يشتغل لحاله ويتفادى العقبات ويتفاعل مع الناس.
تشتغل بدون نت؟,بعض الشاشات تشتغل بدون نت عادي.
ابي اعرف عن event help؟,ابشر! علمني نوع الفعالية وبساعدك
ابي اعرف عن prices؟,يعتمد على نوع الشاشة ومدة التأجير، ابشر نرسل لك الأسعار الآن
ابي اعرف عن heat resistance؟,ايه مصممة تتحمل أجواءنا، ومجربة بالسعودية
ابي اعرف عن podium mobility؟,ايه، سهلة التنقل وتتحرك بسهولة لأي مكان تحتاجه.
ابي اعرف عن event help؟,ابشر بعزك تواصل مع الدعم وبيساعدونك بجميع التفاصيل وخدمتنا سريعة
ابي اعرف عن support؟,نعم فيه ضمان ثلاث سنوات لمدة سنة
ابي اعرف عن how to use؟,التشغيل سهل، فيها نظام ذكي تشتغل بزر واحد
ابي اعرف عن led ad display؟,ايه، خصوصاً المكعب LED، شكله يشد الانتباه
ابي اعرف عن rent duration؟,نأجر يوميًا، أسبوعيًا، وشهريًا حسب طلبك بس امر
ابي اعرف عن maintenance؟,ايه عندنا فريق صيانة متخصص ويوصلك لو احتجت
ابي اعرف عن offers؟,نعم السماعة
ابي اعرف عن smart robot display؟,ايه عندنا روبوت ذكي يقدر يتحرك بروحه، يتفادى العقبات، ويتفاعل مع الناس باللمس
ابي اعرف عن hours؟,حياك الله من ٨ صباحًا حتى ١٠ مساءًا تنورنا بأي وقت
التوصيل مجاني؟,يوصلك الطلب خلال 2-5 أيام عمل حسب موقعك.
التوصيل مجاني؟,ايه نوصل لكل مدن المملكة، وين ما كنت
ابي اعرف عن led strip screen؟,شاشة LED بالمتر تعطي سطوع عالي ودقة HD، وتقدر تركبها بمكان صغير وتنقلها بسهولة
ابي اعرف عن smart robot display؟,ايه روبوت ذكي، يتنقل لحاله ويتفادى العقبات ويتفاعل باللمس
ابي اعرف عن location info؟,تقدر تزورنا وتشوف الشاشات بنفسك، هذا موقعنا على الخريطة: https://goo.gl/maps/kXQDfWxgGuv93E4n8
ابي اعرف عن Location؟,هلا بك حايل زون الدور الثاني
ابي اعرف عن how to order؟,"انا هنا اساعدك تلقى الشاشة الانسب ولكن مع اتمام الطلب يتواصل معك موظف الدعم ويتمم طلبك باسرع وقت, تنورنا"
وش مميزات الشاشة؟,دقة 4K، سطوع عالي، تصميم نحيف، وتشتغل باللمس.
ابي اعرف عن battery safety؟,ايه آمنة، بطارية ليثيوم فوسفات ما تحترق ولا تنفجر.
تدعم اللغة العربية؟,تدعم العربية والإنجليزية وبعضها فيه لغات أكثر.
ابي اعرف عن led cube display؟,مميزة للإعلانات، تثبتها على الأرض أو الباب وتلفت الانتباه
ابي اعرف عن power source؟,فيه نوع يشتغل بالبطارية فترة محدودة، والباقي بالكهرب
التوصيل مجاني؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
ابي اعرف عن os info؟,فيها نظام تشغيل ذكي وتقدر تثبت برامج عليها بسهولة.
ابي اعرف عن prices؟,تختلف الأسعار حسب نوع وحجم الشاشة، تواصل معنا لتفاصيل أكثر
انت مين؟,ايه، أنا جزء من فريق خيال الفكرة، موجود عشان أخدمك وأشرح لك.
ابي اعرف عن screen size؟,فيه 65 و75 بوصة وغيرها، اختر حسب حاجتك.
ابي اعرف عن closing؟,وجهك ابيض نورتنا يا بعد حيي
ابي اعرف عن greeting؟,اهلًا وسهلًا بك يا هلا
ابي اعرف عن rent duration؟,اكيد!حياك الله تقدر تأجر لاسبوع واكثر
ابي اعرف عن greeting؟,وعليكم السلام ورحمة الله، هلا بك يا حيي!كيف أقدر أساعدك؟
ابي اعرف عن support؟,خلل بسيط باذن الله ينحل بس جرب مره ثانية
ابي اعرف عن event use؟,تنفع للمناسبات والمعارض والتعليم، حسب استخدامك.
انت مين؟,ايه أقدر أفهم سؤالك وأجاوبك بطريقة بسيطة وواضحة.
ابي اعرف عن support؟,وش المشكلة بالضبط علمني وبساعدك
ابي اعرف عن support؟,ما عليك لا تشيل هم الان نرسل للدعم يساعدونك
كيف أتواصل معكم؟,تقدر تكلمنا على واتساب الدعم مباشرة أو من حساباتنا.
ابي اعرف عن led cube display؟,تصميمه مكعب، تقدر تستخدمه كشعار أو إعلان خارجي وتثبته على الأرض أو الباب، وضمان ثلاث سنواته عالي
ابي اعرف عن contact؟,نعم، تفضل هذا الرقم للتواصل على الواتس:
تدعم اللغة العربية؟,ايه تدعم العربي والإنجليزي وأنظمة متعددة.
ابي اعرف عن warranty duration؟,الضمان ثلاث سنوات يا بعدي، شامل كل شيء
ابي اعرف عن public use؟,مناسبة للأماكن المفتوحة مثل الأسواق أو المدارس.
وش الأجهزة اللي تشتغل معها؟,تدعم HDMI وUSB وبلوتوث، وتشغل كل الأجهزة.
ابي اعرف عن led cube display؟,ايه مثالية للشعارات، تصميمها ملفت وتنفع داخلي وخارجي
ابي اعرف عن contact؟,تقدر تتواصل معنا عبر الواتس أو الانستقرام أو الاتصال المباشر
ابي اعرف عن buy or rent؟,نعم، تتوفر الشاشات للبيع والتأجير بس امر
ابي اعرف عن warranty duration؟,الضمان ثلاث سنوات يا حيي، شامل كل شيء.
ابي اعرف عن screen brightness؟,سطوعها ممتاز، ما تحتاج شي إضافي حتى بالمناطق المفتوحة
ابي اعرف عن screen types؟,ايه نعم تدعم اللمس، تواصل معنا نحدد لك الأنسب
ابي اعرف عن tech support؟,بس تواصل معنا على الرقم أو الواتساب، ونرسلك الدعم
ابي اعرف عن greeting؟,مساء النور، كيف نقدر نخدمك؟
وش يميز الشاشات حقتكم؟,دقة 4K، سطوع عالي، تصميم نحيف، وتشتغل باللمس.
ابي اعرف مزايا الشاشة,دقة 4K، سطوع عالي، تصميم نحيف، وتشتغل باللمس.
كيف جودة الشاشة عندكم؟,دقة 4K، سطوع عالي، تصميم نحيف، وتشتغل باللمس.
وش أقدر أوصل بالشاشة؟,تدعم HDMI وUSB وبلوتوث، وتشغل كل الأجهزة.
فيها HDMI؟,تدعم HDMI وUSB وبلوتوث، وتشغل كل الأجهزة.
لو أنا بحايل، توصلون لي؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
الشحن مجاني داخل حايل؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
يوصلكم لين باب البيت؟,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
يجي فني يركب الشاشة؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
تركيب الشاشة سهل؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
اقدر اطلب تركيب مع الطلب؟,التركيب مجاني داخل حايل، ونوفر فني مختص يركب لك الشاشة باحتراف.
كيف اتواصل معكم؟,تقدر تتواصل معنا بسهولة عبر الواتساب والدعم متوفر.
فيه رقم واتساب؟,تقدر تتواصل معنا بسهولة عبر الواتساب والدعم متوفر.
احتجت دعم فني وين القاه؟,حياك حنا بحايل - حايل زون، الدور الثاني. وهذا رابط اللوكيشن: https://maps.app.goo.gl/9ydriMNzNvLRGWLaA?g_st=com.google.maps.preview.copy
تدعم اللغة العربية؟,تدعم العربية والإنجليزية وبعضها فيه لغات أكثر.
فيها أكثر من لغة؟,تدعم العربية والإنجليزية وبعضها فيه لغات أكثر.
تشتغل بالعربي؟,تدعم العربية والإنجليزية وبعضها فيه لغات أكثر.
تشتغل الشاشة بدون نت؟,بعض الشاشات تشتغل بدون نت عادي.
لو ما عندي إنترنت تشتغل؟,بعض الشاشات تشتغل بدون نت عادي.
تشتغل أوفلاين؟,بعض الشاشات تشتغل بدون نت عادي.
وش فايدتك؟,أشرح لك كل التفاصيل عن منتجات خيال الفكرة، وأسهل عليك تختار.
انت هنا ليه؟,أشرح لك كل التفاصيل عن منتجات خيال الفكرة، وأسهل عليك تختار.
